Business Name,Category,Address,City,State,Postal Code,Phone,Website,Rating,Review Count,Latitude,Longitude
Sky Dental,Dentist,"111 Broadway Suite 1304, New York, NY 10006",New York,New York,10006,(212) 600-1996,https://skydentalnyc.com/?utm_campaign=gmb,4.9,2549,40.7086853,-74.0115487
Corson Dentistry,Dentist,"5307 E Yale Ave #1, Denver, CO 80222",Denver,Colorado,80222,(303) 952-8380,https://www.corsondentistry.com/denver-co/?utm_campaign=gmb&utm_medium=local&utm_source=google,4.9,2198,39.6677745,-104.9271825
Preferred Dental Care - Chelsea Dentist,Dentist,"135 W 27th St, New York, NY 10001",New York,New York,10001,(212) 594-7171,https://www.preferreddentalcare.com/locations/chelsea-ny-location,4.9,2189,40.7462879,-73.9924206
Nuvia Dental Implant Center,Dental implants provider,"7138 S Highland Dr Suite #211, Salt Lake City, UT 84121",Salt Lake City,Utah,84121,(385) 442-5768,https://www.nuviasmiles.com/locations/dental-implants-salt-lake-city-utah?o_source=Organic&o_medium=Website&o_campaign=GMB&o_term=SLC,4.9,1975,40.6216457,-111.8353395
209 NYC Dental,Dentist,"209 E 56th St 1st floor, New York, NY 10022",New York,New York,10022,(212) 355-2290,https://www.209nycdental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,1759,40.7594146,-73.9671025
Downtown Dental - Loop,Dentist,"25 E Washington St STE 1921, Chicago, IL 60602",Chicago,Illinois,60602,(773) 692-5401,https://www.downtown-dental.com/locations/loop/?utm_source=GMBlisting&utm_medium=organic,4.7,1358,41.883029,-87.6267138
Front Range Dental Center,Dentist,"2720 Council Tree Ave Suite 260, Fort Collins, CO 80525",Fort Collins,Colorado,80525,(970) 673-7321,http://www.frontrangedentalcenter.com/,4.9,1348,40.5257936,-105.0252375
Wall Street Dental Spa - Financial District,Cosmetic dentist,"30 Wall St #720, New York, NY 10005",New York,New York,10005,(212) 514-5514,https://wallstdentalspanyc.com/,4.9,1284,40.7069897,-74.0102726
NYU College of Dentistry,Dentist,"345 E 24th St, New York, NY 10010",New York,New York,10010,(212) 998-9800,http://dental.nyu.edu/,3.6,1167,40.7378213,-73.9784058
Chatham Dental Care,Dental clinic,"7931 S King Dr, Chicago, IL 60619",Chicago,Illinois,60619,(773) 994-1600,http://www.chathamdentalcare.net/,4.2,1023,41.7502232,-87.6146846
